match_id,player_id,team_id,won,hero_name,hero_id,map_name,match_mode,duration_sec,is_mvp,is_svp,timePlayed_value,kills_value,deaths_value,assists_value,kdRatio_value,kdaRatio_value,totalHeroDamage_value,totalHeroDamagePerMinute_value,totalHeroHeal_value,totalHeroHealPerMinute_value,totalDamageTaken_value,totalDamageTakenPerMinute_value,lastKills_value,headKills_value,soloKills_value,sessionHitRate_value,maxSurvivalKills_value,maxContinueKills_value,maxContinueWins_value,continueKills3_value,continueKills4_value,continueKills5_value,continueKills6_value,mainAttacks_value,mainAttackHits_value,shieldHits_value,summonerHits_value,chaosHits_value,heroSessionHitRate_value,heroMainAttacks_value,heroMainAttackHits_value,heroShieldHits_value,heroSummonerHits_value,heroChaosHits_value,featureNormalData1_value,featureNormalData2_value,featureNormalData3_value,featureCriticalRate1CritHits_value,featureCriticalRate1Hits_value,featureCriticalRate2CritHits_value,featureCriticalRate2Hits_value,featureHitRate1UseCount_value,featureHitRate1RealHitHeroCount_value,featureHitRate1ChaosHits_value,featureHitRate1AllyHits_value,featureHitRate1HeroHits_value,featureHitRate1EnemyHits_value,featureHitRate1ShieldHits_value,featureHitRate1SummonerHits_value,featureHitRate2UseCount_value,featureHitRate2RealHitHeroCount_value,featureHitRate2ChaosHits_value,featureHitRate2AllyHits_value,featureHitRate2HeroHits_value,featureHitRate2EnemyHits_value,featureHitRate2ShieldHits_value,featureHitRate2SummonerHits_value,featureSpecialData1Total_value,featureSpecialData1Value_value,ranked_value,rankedDelta_value
5513730_1765074019_1318548_11001_12,Deleted404,0,1,Rocket Raccoon,1023,Celestial Husk,Domination,381,False,False,381640,3,2,17,1.5,10.0,655.7697229385376,109.29,11943.72750377655,1990.62,2981.6066510677338,496.93,2,0,0,0.3345323741007194,2,1,0,0,0,0,0,953,171,104,108,15,0.3793103448275862,133.0,32.0,14.0,12.0,3.0,4.0,5.0,,9.0,32.0,,,,,,,,,,,,,,,,,,,,,5025.0,22.0
5513730_1765074019_1318548_11001_12,Kaifs,0,1,Magneto,1037,Celestial Husk,Domination,381,False,False,381640,12,1,1,12.0,13.0,7781.313596725464,1296.89,0.0,0.0,11832.338578939438,1972.06,4,0,1,0.5831810915734186,5,1,0,0,0,0,0,22165,9411,4262,804,387,0.5838150289017341,213.0,95.0,38.0,6.0,2.0,2.0,803.5,,,,,,,,,,,,,,,,,,,,,,,,5057.0,20.0
5513730_1765074019_1318548_11001_12,Finnsi,0,1,Groot,1027,Celestial Husk,Domination,381,False,False,381640,13,2,0,6.5,6.5,8685.591115951538,1447.6,0.0,0.0,19402.304777741432,3233.72,6,0,1,0.561647115154417,6,2,0,0,0,0,0,15400,6647,2559,391,310,0.5472972972972973,175.0,78.0,25.0,3.0,2.0,5936.1162109375,2.0,,,,,,,,,,,,,,,,,,,,,,,,5156.0,17.0
5513730_1765074019_1318548_11001_12,JukeBox2274,1,0,Angela,1056,Celestial Husk,Domination,381,False,False,381640,4,6,0,0.6666666666666666,0.6666666666666666,6113.29807472229,1018.88,0.0,0.0,18688.655200958252,3114.78,1,0,1,0.4698955787602755,3,1,0,0,0,0,0,5585,2103,904,12,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4976.0,-19.0
5513730_1765074019_1318548_11001_12,VP Sypeh,0,1,Invisible Woman,1050,Celestial Husk,Domination,381,False,False,381640,10,0,17,10.0,27.0,4548.798797607422,758.13,14847.611123085022,2474.6,6147.800564527512,1024.63,1,0,0,0.500754650206618,6,1,0,0,0,0,0,108477,47985,9350,123,3056,0.504739336492891,476.0,212.0,37.0,1.0,17.0,3731.6669921875,21.0,,,,,,,,,,,,,,,,,,,,,,,,5308.0,13.0
