player_id,hero_name,role,timePlayed_value,matchesWinPct_value,matchesPlayed_value,kdRatio_value,kdaRatio_value,totalHeroDamagePerMinute_value,totalHeroHealPerMinute_value,totalDamageTakenPerMinute_value,lastKills_value,totalMvp_value,totalSvp_value,percent_of_time_played
LFTanuki,Blade,duelist,1052.307,100.0,1.5,2.7142857142857144,3.9285714285714284,2007.0,255.0,1303.0,13,0,0,3.8997817241130504
FOREVER774,Angela,vanguard,6772.354,86.48648648648648,11.1,6.0227272727272725,7.068181818181818,1212.0,0.0,2119.0,89,2,1,24.77777451750075
FOREVER774,Magneto,vanguard,9803.688,71.65354330708662,12.7,5.102941176470588,6.264705882352941,1873.0,0.0,3276.0,154,4,0,35.86841011322324
FOREVER774,Emma Frost,vanguard,5484.558,42.622950819672134,6.1,3.26,3.82,1782.0,0.0,3360.0,63,0,1,20.066160370848138
FOREVER774,Doctor Strange,vanguard,1136.497,62.5,1.6,2.375,2.5625,1312.0,0.0,3364.0,13,0,0,4.158061791485804
FOREVER774,Venom,vanguard,1292.768,94.11764705882354,1.7,2.5,3.4285714285714284,1064.0,0.0,2429.0,10,0,0,4.729805029010652
FOREVER774,Groot,vanguard,2842.509,46.34146341463415,4.1,3.5185185185185186,4.222222222222222,2186.0,64.0,5202.0,30,1,0,10.399788177931416
balas.,Psylocke,duelist,19837.42,46.50349650349651,28.6,3.2304347826086954,3.247826086956522,1800.0,0.0,789.0,380,8,5,24.545584083444457
balas.,Winter Soldier,duelist,11605.132,64.03940886699507,20.3,4.518867924528302,5.40566037735849,2137.0,0.0,1103.0,252,3,0,14.359465258358798
balas.,Phoenix,duelist,28710.403,68.18181818181817,39.6,4.3107569721115535,4.705179282868526,2144.0,128.0,868.0,501,11,4,35.52445887146998
balas.,Hela,duelist,7036.818,52.293577981651374,10.9,2.6588235294117646,2.8588235294117648,1647.0,0.0,752.0,118,0,0,8.706918938999904
balas.,Namor,duelist,8433.447,58.778625954198475,13.1,3.640449438202247,4.067415730337078,1790.0,0.0,829.0,156,4,2,10.435020403448252
balas.,Doctor Strange,vanguard,1156.479,75.0,1.2,1.75,1.8125,1239.0,0.0,2740.0,13,0,0,1.4309548588091479
balas.,Adam Warlock,strategist,919.221,55.55555555555556,0.9,2.0,4.0,1283.0,1623.0,684.0,2,0,0,1.1373866332803306
balas.,Star-Lord,duelist,912.131,27.77777777777778,1.8,2.75,2.75,1732.0,0.0,983.0,12,0,0,1.1286139102572954
balas.,Daredevil,duelist,2207.641,64.51612903225806,3.1,1.53125,2.25,1379.0,1.0,1415.0,21,0,0,2.7315970419318347
pomil,Magneto,vanguard,12954.773,63.41463414634148,16.4,4.144329896907217,5.587628865979381,1660.0,0.0,2779.0,146,2,2,12.99546231231836
pomil,Mantis,strategist,17105.241,61.92468619246863,23.9,3.1968503937007875,10.15748031496063,1001.0,1556.0,650.0,124,1,0,17.15896641018896
pomil,Phoenix,duelist,6710.638,67.46987951807229,8.3,5.977777777777778,6.8,1873.0,112.0,636.0,108,2,0,6.731715269778286
pomil,Emma Frost,vanguard,12651.116,54.65116279069768,17.2,3.9504950495049505,4.881188118811881,1597.0,0.0,2483.0,119,0,1,12.690851563880571
pomil,Invisible Woman,strategist,11598.273,55.033557046979865,14.9,3.2533333333333334,8.373333333333333,840.0,2353.0,1132.0,35,0,0,11.63470171646231
