player_id,hero_name,role,timePlayed_value,matchesWinPct_value,kdRatio_value,kdaRatio_value,totalHeroDamagePerMinute_value,totalHeroHealPerMinute_value,totalDamageTakenPerMinute_value,lastKills_value,totalMvp_value,totalSvp_value,percent_of_time_played,Arakko,Birnin T'Challa,Celestial Husk,Central Park,Hall Of Djalia,Heart Of Heaven,Hell's Heaven,Krakoa,Midtown,Royal Palace,Spider-Islands,Symbiotic Surface,Yggdrasill Path,Convergence,Convoy,Domination
VP Sypeh,Gambit,strategist,10.385761666666665,0.691358024691358,4.075555555555556,9.626666666666669,881.0,2983.0,682.0,280,18,7,55.1594937536521,1.0,0.0,0.691358024691358,0.691358024691358,0.691358024691358,1.0,0.691358024691358,0.691358024691358,1.0,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,1.0,1.0,0.0
VP Sypeh,Invisible Woman,strategist,4.102633611111111,0.6393442622950819,4.9625,11.475,1294.0,3169.0,1516.0,79,7,5,21.78936897540397,0.6393442622950819,1.0,1.0,0.6393442622950819,0.5,0.6393442622950819,0.5,0.6666666666666666,1.0,0.6393442622950819,1.0,1.0,0.6393442622950819,0.6666666666666666,1.0,0.7142857142857143
VP Sypeh,Emma Frost,vanguard,0.3541797222222222,0.7142857142857143,3.363636363636364,4.545454545454546,2404.0,0.0,3061.0,13,0,0,1.881072838238656,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
VP Sypeh,Loki,strategist,1.9637361111111111,0.9322033898305083,5.4,13.4,957.0,2267.0,511.0,31,4,0,10.429537402375182,0.9322033898305083,0.9322033898305083,1.0,0.9322033898305083,0.9322033898305083,1.0,0.9322033898305083,0.9322033898305083,0.9322033898305083,0.9322033898305083,0.9322033898305083,1.0,1.0,1.0,1.0,1.0
VP Sypeh,Adam Warlock,strategist,0.6157825,0.5333333333333333,2.75,4.85,1272.0,1596.0,727.0,28,0,0,3.270463164138815,0.5333333333333333,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0
VP Sypeh,Rocket Raccoon,strategist,0.548045,0.7647058823529413,4.75,29.25,179.0,3034.0,273.0,6,0,0,2.910704647810642,0.7647058823529413,0.7647058823529413,0.7647058823529413,0.7647058823529413,0.7647058823529413,0.7647058823529413,0.7647058823529413,0.7647058823529413,1.0,0.7647058823529413,0.7647058823529413,0.7647058823529413,1.0,0.7647058823529413,1.0,0.7647058823529413
VP Sypeh,Iron Fist,duelist,0.2553372222222222,0.6428571428571429,2.857142857142857,2.857142857142857,2039.0,71.0,1462.0,12,0,0,1.356113529876709,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
VP Sypeh,Mantis,strategist,0.6031263888888889,0.13333333333333333,1.4782608695652173,4.217391304347826,1034.0,1855.0,702.0,8,0,0,3.203245688503933,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333
Karova,Gambit,strategist,40.056171666666664,0.629190304280557,3.7563971340839295,8.812691914022517,820.0,2823.0,771.0,1104,56,31,57.71125763390733,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557,0.629190304280557
Karova,Adam Warlock,strategist,5.003669444444444,0.5158371040723981,2.3529411764705883,3.5,1666.0,1361.0,993.0,174,3,2,7.209077762754494,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981
